#  hp   weight   cylinders   ccm   km/l
115.0  1177.1   6  2835.0   12.24
180.0  1986.7   8  5735.5    7.01
150.0  2021.7   8  5211.1    5.95
105.0  1767.6   6  4096.8    6.80
193.0  2146.4   8  4981.7    3.83
110.0  1378.5   6  3785.4    8.93
150.0  1857.9   8  5211.1    5.95
 86.0  1117.7   4  1753.4   11.90
 65.0  1079.5   4  1605.9   12.71
 84.0  1129.4   4  2212.3   11.56
 84.0  1081.8   4  2212.3   12.75
 98.0  1598.9   6  4096.8    7.87
 90.0   963.0   4  1900.9   11.90
 90.0  1102.2   4  1753.4   10.20
130.0  1948.2   8  4948.9    6.38
 67.0  1338.1   5  1982.8   15.48
 67.0   839.1   4  1491.2   18.96
 72.0  1038.7   4  1753.4   13.77
 90.0  1551.3   8  4260.6   10.16
150.0  1703.2   8  5211.1    5.53
 71.0  1447.0   4  2310.6   11.56
 68.0   977.5   4  1605.9   12.75
215.0  1955.9   8  7210.3    5.95
107.0  1121.3   6  2540.0    8.93
122.0  1273.2   6  2556.4    8.50
 70.0   938.9   4  1392.9   16.75
 75.0  1027.4   4  1769.8   13.69
 76.0   936.7   4  1442.1   12.75
116.0  1315.4   6  2753.0   10.80
 96.0  1208.8   4  2359.7   13.60
142.0  1838.9   8  5751.9    6.59
 90.0  1456.5   6  3801.8    8.08
150.0  1541.8   8  5211.1    6.38
165.0  1909.2   8  5735.5    5.95
 63.0  1004.7   4  1720.6   14.75
 75.0  1000.2   4  1753.4   15.31
 96.0  1043.3   4  1999.2   10.84
103.0  1283.7   5  2146.7    8.63
 48.0  1059.1   4  1474.8   18.45
 83.0   998.8   4  1655.1   11.48
102.0  1428.8   4  2130.3    8.50
 63.0   930.3   4  1605.9   12.97
 80.0  1111.8   4  1999.2   11.05
190.0  2005.8   8  6554.8    5.53
100.0  1335.8   6  3801.8    7.65
170.0  1889.2   8  5735.5    6.59
150.0  1930.9   8  4981.7    5.95
 86.0  1009.7   4  1999.2    8.93
 83.0  1006.5   4  1605.9   12.33
 72.0  1556.7   6  4096.8    6.38
139.0  1619.3   8  4948.9    8.59
105.0  1533.1   6  3785.4    8.76
140.0  1850.7   8  5211.1    7.44
150.0  1706.0   8  6554.8    6.38
 70.0   902.6   4  1392.9   13.60
 68.0   968.4   4  1605.9   12.54
149.0  1966.3   8  5751.9    6.80
 95.0  1075.9   4  1851.7   10.20
100.0  1646.5   6  3687.1    8.08
 60.0   831.9   4  1589.5   11.48
 95.0  1716.8   6  3687.1    7.65
 90.0  1229.7   4  2195.9   12.67
 52.0   923.1   4  1392.9   12.33
 87.0  1212.0   4  1802.6   10.63
 70.0   963.9   4  1605.9   15.31
165.0  1938.7   8  5735.5    5.53
208.0  2101.5   8  7030.1    4.68
 62.0   929.9   4  1458.5   16.03
160.0  1637.0   8  5571.6    5.95
 78.0   992.5   4  1589.5   14.58
158.0  1979.0   8  5751.9    5.53
 83.0  1197.0   4  2294.2    9.78
 65.0   832.8   4  1163.5   13.60
 93.0  1084.5   4  1769.8   11.05
 52.0   900.4   4  1278.2   13.94
150.0  1665.6   8  4981.7    5.95
120.0  1329.0   6  2392.5   10.29
100.0  1194.8   6  3801.8    8.08
175.0  2331.5   8  6554.8    5.53
 71.0   873.2   4  1458.5   13.56
100.0  1265.1   6  3801.8    7.65
 86.0  1007.0   4  1999.2    9.78
 78.0   993.4   4  1589.5   12.97
 70.0   975.2   4  1720.6   14.67
 70.0   997.9   4  1720.6   14.54
 72.0  1163.5   4  2294.2   11.27
112.0  1300.9   4  1982.8    8.08
150.0  1765.4   8  4981.7    6.38
145.0  1877.9   8  5211.1    6.59
145.0  1553.6   8  4998.1    8.16
110.0  1233.8   3  1311.0    9.14
 88.0   952.5   4  1589.5   11.48
 97.0  1129.0   4  1966.5   10.20
150.0  1849.3   8  5211.1    5.95
 65.0   957.1   4  1409.3   19.81
 68.0   927.6   4  1605.9   13.39
 70.0   940.7   4  1294.6   12.75
100.0  1486.9   6  4096.8    6.80
120.0  1797.1   8  4981.7    6.59
150.0  1921.9   8  5211.1    5.95
 85.0  1047.8   4  1999.2    8.08
 92.0  1172.5   4  2556.4   11.05
 88.0  1497.8   6  4096.8    8.08
145.0  1839.3   8  5735.5    5.53
230.0  1940.5   8  6554.8    6.80
 84.0  1075.0   4  2212.3   15.31
 97.0  1056.9   3  1147.1    8.08
 68.0   893.6   4  1491.2   13.18
 60.0   892.7   4  1458.5   16.20
140.0  1878.3   8  4948.9    6.80
 90.0  1214.7   4  2474.5   11.90
